run_dir,model,dataset,config,Q,H,use_acceleration,test_mae,test_rmse,test_mape,num_params,epochs_trained,train_time_minutes,train_time_hours,best_val_mae,timestamp,metric_source
gwnet_metr-la_Acc_NoSG_LSTM_Q6,GWNET,metr-la,Acc_NoSG,6,12,True,3.098055362701416,9.018239974975586,7.613172382116318,153714,65,171.9106000502904,2.86517666750484,2.8515963554382324,2025-12-01T21:29:28.480987,test_results
gwnet_metr-la_Acc_SG_LSTM_Q12,GWNET,metr-la,Acc_SG,12,12,True,4.269693851470947,11.290912628173828,10.79619824886322,154488,58,209.31275888284048,3.4885459813806747,3.8300273418426514,2025-12-02T04:19:09.007149,test_results
gwnet_metr-la_Acc_SG_LSTM_Q3,GWNET,metr-la,Acc_SG,3,12,True,2.2317380905151367,6.23985481262207,5.391097813844681,153327,71,181.51905188560485,3.025317531426748,2.1064906120300293,2025-12-01T05:10:54.103344,test_results
gwnet_metr-la_Acc_SG_LSTM_Q6,GWNET,metr-la,Acc_SG,6,12,True,3.1209890842437744,8.61577033996582,7.717782258987427,153714,74,232.05215594768524,3.8675359324614207,2.873992443084717,2025-12-01T18:37:09.529784,test_results
gwnet_metr-la_NoAcc_LSTM_Q12,GWNET,metr-la,NoAcc,12,12,False,4.664113521575928,12.055916786193848,11.70920506119728,154424,70,199.56895814736683,3.326149302456114,4.180352687835693,2025-12-02T00:49:26.170893,test_results
gwnet_metr-la_NoAcc_LSTM_Q3,GWNET,metr-la,NoAcc,3,12,False,3.046888828277588,8.210050582885742,7.380851358175278,153263,91,167.8518229643504,2.7975303827391733,2.841827154159546,2025-12-01T02:09:01.968121,test_results
gwnet_metr-la_NoAcc_LSTM_Q6,GWNET,metr-la,NoAcc,6,12,False,3.690321207046509,9.8863525390625,9.089420735836027,153650,73,318.4902720133463,5.308171200222438,3.3738560676574707,2025-12-01T14:44:43.587849,test_results
gwnet_pems-bay_Acc_NoSG_LSTM_Q12,GWNET,pems-bay,Acc_NoSG,12,12,True,1.830894947052002,4.218338966369629,3.873256221413613,156848,82,150.2597063144048,2.5043284385734137,1.8911536931991575,2025-12-03T06:14:24.666301,test_results
gwnet_pems-bay_Acc_NoSG_LSTM_Q3,GWNET,pems-bay,Acc_NoSG,3,12,True,0.8486160039901733,2.118415355682373,1.6307037323713305,155687,97,159.02603763341904,2.650433960556984,0.8707422614097595,2025-12-02T17:11:13.714426,test_results
gwnet_pems-bay_Acc_NoSG_LSTM_Q6,GWNET,pems-bay,Acc_NoSG,6,12,True,1.348954677581787,3.1815435886383057,2.7266383171081543,156074,66,125.23926227490108,2.0873210379150176,1.3921451568603516,2025-12-02T23:03:03.892847,test_results
